review_title,review_content,review_lem,polarite,content_length,rating
livré dans les temps,"livré dans les temps, produits d'un bon niveau, pas de contestation sur réclamation","['livrer', 'temps', 'livrer', 'temps', 'produire', 'bon', 'niveau', 'contestation', 'réclamation']",0.85,83,0
"Bon produit ,bon suivi de la livraison…","Bon produit ,bon suivi de la livraison , et transporteur au top.","['bon', 'bon', 'suivi', 'livraison', 'bon', 'bon', 'suivi', 'livraison', 'transporteur', 'top']",0.85,64,0
Un accompagnement de qualité,"La possibilité de voir les tissus en magasin et de tester l assise (dommage qu'il n y avait pas la chaise haute d îlot, seulement l équivalente basse)L accompagnement personnalisé d un vendeurLe lien par mailLe prix moindre que chez d autres enseignes bien qu'il reste élevé","['accompagnement', 'qualité', 'possibilité', 'voir', 'tissu', 'magasin', 'tester', 'asseoir', 'dommage', 'chaise', 'haute', 'lot', 'seulement', 'équivalent', 'bas', 'accompagnement', 'personnaliser', 'vendeurle', 'lien', 'maill', 'prix', 'moindre', 'chez', 'autre', 'enseigne', 'bien', 'reste', 'élevé']",0.4807142857142857,274,0
Une enseigne classe dotée d'un site internet agréable,Site très agréable et facile pour trouver le produit que nous cherchons. Livraison impeccable et d'une rapidité sans égal.,"['enseign', 'classe', 'doter', 'internet', 'agréable', 'agréable', 'facile', 'trouver', 'cherchon', 'livraison', 'impeccable', 'rapidité', 'sans', 'égal']",0.7337499999999999,122,0
Meuble vasque,"J'ai commandé un meuble sous vasque avant le confinement pour mon futur appartement qui était en travaux, et n'ai pas pu le déballer avant mi-mai. Malheureusement il ne convenait pas à l'espace, et on a accepté de me le reprendre malgré les délais qui étaient dépassés. Les délais de traitement sont un peu allongés du fait de la reprise progressive de l'activité, mais dans mon cas tout à été très fluide, les livreurs sont venus récupérer le meuble comme prévu, et j'ai été remboursée très rapidement. Je suis très contente du service client.Pour ce qui est du meuble, il avait l'air très robuste et de bonne qualité.","['vasque', 'commander', 'sou', 'vasque', 'avant', 'confinement', 'futur', 'appartemer', 'traval', 'déballer', 'avant', 'mai', 'malheureusement', 'convenir', 'espacer', 'accepter', 'reprendre', 'malgré', 'délai', 'dépasser', 'délai', 'traitement', 'peu', 'allongé', 'fait', 'reprise', 'progressif', 'activité', 'cas', 'fluide', 'livreur', 'venir', 'récupérer', 'comme', 'prévoir', 'rembourser', 'rapidement', 'content', 'service', 'client', 'air', 'robuste', 'bon', 'qualité']",0.6468181818181817,619,0
Très beau meuble de grande qualité,"Très beau meuble de grande qualité, robuste, qui va parfaitement dans notre intérieur moderne. Grande contenance. Les portes sont dotées d'un système de fermeture. Prix très correct comparé à ce qu'on trouve sur le marché. Livré en à peine une semaine. Nous en sommes ravis !","['beau', 'grand', 'qualité', 'beau', 'grand', 'qualité', 'robuste', 'parfaitement', 'intérieur', 'moderne', 'grand', 'contenance', 'porte', 'doter', 'systèm', 'fermeture', 'prix', 'correct', 'comparer', 'trouve', 'marché', 'livrer', 'peine', 'semain', 'ravir']",0.7058333333333333,275,0
Tout a été impeccable,Tout a été impeccable. Accueil téléphonique très agréable et attentif. Livraison rapide pour la majeure partie de la commande et livreur très courtois. Meubles extrêmement bien emballés et protégés.Je recommande ce fournisseur.,"['impeccable', 'impeccable', 'accueil', 'téléphonique', 'agréable', 'attentif', 'livraison', 'rapide', 'majeur', 'partie', 'command', 'livreur', 'courtois', 'extrêmement', 'bien', 'emballer', 'protégé', 'recommander', 'fournisseur']",0.6927777777777778,227,0
"meuble de qualité, service parfait",mobilier conforme à mes attentes. respect des délais de livraison. site web bien conçu.Service parfait,"['qualité', 'service', 'parfaire', 'mobilier', 'conforme', 'attente', 'respect', 'déler', 'livraison', 'web', 'bien', 'con', 'service', 'parfaire']",0.65,102,0
Tête de lit métal,Un peu instable sur du parquet ancien. Système de réglage des pieds un peu juste à cause de l'irrégularité du sol et de la largeur de la plinthe.,"['tête', 'lit', 'métal', 'peu', 'instable', 'parquet', 'ancien', 'système', 'réglag', 'pied', 'peu', 'juste', 'cause', 'irrégularité', 'sol', 'largeur', 'plinth']",0.5191666666666667,145,0
Belle qualité,"J'ai commandé des chaises en bois massif qualité au top, livraison impeccable je recommande !","['bel', 'qualité', 'commander', 'bois', 'massif', 'qualité', 'top', 'livraison', 'impeccable', 'recommander']",0.66875,93,0
Excellente qualité du meuble et livraison soigneuse,Ravie de mon achat,"['excellent', 'qualité', 'livraison', 'soigneur', 'ravie', 'achat']",0.5,18,0
Très bon rapport qualité prix,Qualité respectée à un prix accessible,"['bon', 'rapport', 'qualité', 'prix', 'qualité', 'respecter', 'prix', 'accessible']",0.6325000000000001,38,0
Tout est Conforme à nos attentes,"Tout est Conforme à nos attentes , expédition rapide et livraison sans encombre.","['conforme', 'attente', 'conforme', 'attente', 'expédition', 'rapide', 'livraison', 'sans', 'encombre']",0.6116666666666667,80,0
achat conforme et surtout rapidité de…,"achat conforme et surtout rapidité de l'envoi, une semaine entre l'achat et la reception de l'armoire , je recommande le site","['achat', 'conforme', 'surtout', 'rapidité', 'achat', 'conforme', 'surtout', 'rapidité', 'envoi', 'semain', 'entrer', 'achat', 'reception', 'armoir', 'recommand']",0.575,125,0
rocking chair,"Commande d un rocking chair. L assise est confortable, haute comme je voulais.  Facile à monter.  Temps de livraison comme indiqué","['rocking', 'chair', 'commande', 'rocking', 'chair', 'asseoir', 'confortable', 'haute', 'comme', 'voulai', 'facile', 'monter', 'temps', 'livraison', 'comme', 'indiquer']",0.59375,130,0
Je recommande vivement,Je ne connaissais pas commande rapide article livré dans les délais annoncés par 2 livreurs un dimanche. Emballage soigné article impeccable super rendu installé très belle qualité et finitions nous sommes enchantés,"['recommander', 'vivement', 'connaissai', 'command', 'rapide', 'article', 'livrer', 'délai', 'annoncer', 'livreur', 'dimanche', 'emballage', 'soigner', 'article', 'impeccable', 'super', 'rendre', 'installer', 'bel', 'qualité', 'finition', 'enchanter']",0.7549999999999999,215,0
"Service,Soin,Considération","j'ai   passe une commande d'un Buffet Manguier, livraison rapide et soignée, ouverture du colis avec le Chauffeur ( Très aimable et patient en occurrence) Malheureusement, il mettait impossible de régler correctement les 2 portes . un default du caisson je pense. Jai donc signalé mon souci au SAV .Je tiens a remercier vivement les Services SAV (Florine et Julie) ainsi que l'ensemble du personnel de MILIBOO pour sa réactivité aussi bien par la reprise du buffet et du suivi d'une nouvelle livraison prévue d'un nouveau meuble.Je reste confiant pour la suite ...je suis ravi de la consideration et de toute votre attention envers votre client que je suis...Je reviendrais vers vous pour d'autre commande.Très CordialementPhilippe§Fabienne Perroux 33340","['service', 'soin', 'considération', 'passer', 'command', 'buffet', 'manguier', 'livraison', 'rapide', 'soigner', 'ouvertur', 'colis', 'chauffeur', 'aimable', 'patient', 'occurrence', 'malheureusement', 'mettre', 'impossible', 'régler', 'correctement', 'porte', 'default', 'caisson', 'penser', 'jer', 'donc', 'signalé', 'souci', 'sav', 'tien', 'remercier', 'vivement', 'service', 'sav', 'florine', 'julie', 'ainsi', 'ensembl', 'personnel', 'réactivité', 'aussi', 'bien', 'reprise', 'buffet', 'suivre', 'nouveau', 'livraison', 'prévue', 'nouveau', 'reste', 'confier', 'suite', 'ravi', 'consideration', 'tout', 'attention', 'envers', 'client', 'reviendrai', 'vers', 'autre', 'command', 'cordialementphilippe', 'fabien', 'perrou']",0.5484615384615384,754,0
bon rapport qualité prix,"produit de qualité ,prix raisonnables je recommande","['bon', 'rapport', 'qualité', 'prix', 'qualité', 'prix', 'raisonnable', 'recommander']",0.6333333333333333,51,0
achat miliboo,"bon accueil en magasin, bon contact avec les vendeurs et bon matériel","['achat', 'bon', 'accueil', 'magasin', 'bon', 'contact', 'vendeur', 'bon', 'matériel']",0.79875,69,0
Conforme,"Les produits sont conforment à la commande et de qualité en rapport avec le descriptif.C'est le transport qui n'est pas convenable. J'avais demandé que l'on me prévienne au moins la veille de la livraison. Par 2 fois, la consigne n'a pas été observé et heureusement qu'un voisin a pris le colis et qu'il n'y a pas eu d'anomalie sinon...","['conforme', 'produire', 'conformer', 'commande', 'qualité', 'rapport', 'descriptif', 'transport', 'convenable', 'demander', 'prévienn', 'moins', 'veille', 'livraison', 'fois', 'consigne', 'observer', 'heureusement', 'voisin', 'prendre', 'colis', 'anomalie', 'sinon']",0.58125,336,0
Service réactif et à l écoute,Service réactif et à l écoute. Je recommande,"['service', 'réactif', 'écoute', 'service', 'réactif', 'écoute', 'recommander']",0.6,44,0
Très joli fauteuil,Très joli fauteuil ! Confortable et design ! Un très bon rapport qualité prix.,"['joli', 'fauteuil', 'joli', 'fauteuil', 'confortable', 'design', 'bon', 'rapport', 'qualité', 'prix']",0.846875,78,0
Nous avons acheté un meuble SDB,"Nous avons acheté un meuble SDB, un bahut et une bibliothèque. Meubles de très grande qualité et très beaux. Nous recommanderons d’autres pièces","['acheter', 'sdb', 'acheter', 'sdb', 'bahut', 'bibliothèqu', 'grand', 'qualité', 'beal', 'recommanderon', 'autre', 'pièce']",0.7375,144,0
Produits conformes à la commande et un…,Produits conformes à la commande et un très bon rapport qualité prix,"['produit', 'conforme', 'commande', 'produit', 'conforme', 'command', 'bon', 'rapport', 'qualité', 'prix']",0.75,68,0
Magasins et mobilier au top!,"Achat en magasin parfaitMeuble solide, design et de bonne qualitéLivraison par chronopost erratique","['magasin', 'mobilier', 'top', 'achat', 'magasin', 'parfaitmeubl', 'solide', 'design', 'bon', 'qualitélivraison', 'chronopost', 'erratique']",0.8,99,0
Parfait,Tout s'est bien passé,"['parfaire', 'bien', 'passer']",0.5033333333333333,21,0
Très satisfaite de ma commande,Très satisfaite de ma commande Mon meuble est de très bonne qualité sans aucun défaut et très satisfaite pour le suivi de l’envoi de ma commande,"['satisfaire', 'commande', 'satisfaire', 'commande', 'bon', 'qualité', 'sans', 'aucun', 'défaut', 'satisfaire', 'suivre', 'envoi', 'command']",0.825,144,0
Une première et bonne expérience avec…,Une première et bonne expérience avec Miliboo. Livraison rapide et de qualité. Notre table basse est de qualité et design. Nous renouvellerons l'expérience.,"['premier', 'bon', 'expérience', 'premier', 'bon', 'expérience', 'livraison', 'rapide', 'qualité', 'bas', 'qualité', 'design', 'renouvelleron', 'expérience']",0.6791666666666667,156,0
Parfait,Je recommande,"['parfaire', 'recommander']",0.6,13,0
Produits de bonne qualité,"Produits de bonne qualité et facile à monter, design sympa","['produit', 'bon', 'qualité', 'produit', 'bon', 'qualité', 'facile', 'monter', 'design', 'sympa']",0.69625,58,0
Déjà plusieurs commandes sur le site…,"Déjà plusieurs commandes sur le site SKLUM, de magnifiques produits, très bien emballés et protégés, envoi rapide et soigné ! Je suis très contente de ce site","['déj', 'plusieurs', 'commande', 'déj', 'plusieurs', 'commande', 'magnifique', 'produire', 'bien', 'emballer', 'protégé', 'envoi', 'rapide', 'soigner', 'content']",0.7475,158,0
Console acacia et métal,Magnifique console qui correspond parfaitement à la description et à la photo. Je suis ravie !,"['consol', 'acacia', 'métal', 'magnifique', 'consol', 'correspondre', 'parfaitement', 'description', 'photo', 'ravir']",0.8671875,94,0
Satisfaction commande lit,"Commande facile, retrait en dépôt rapide et simple, montage assez simple et bien expliqué","['satisfaction', 'command', 'lit', 'commande', 'facile', 'retraire', 'dép', 'rapide', 'simple', 'montage', 'assez', 'simple', 'bien', 'expliqué']",0.582,89,0
Très satisfait Site,"Très satisfait Site, contact tél., livraison ainsi que SAV","['satisfait', 'satisfait', 'contact', 'tél', 'livraison', 'ainsi', 'sav']",0.8,58,0
C’est du bon matériel et de la bonne…,"C’est du bon matériel et de la bonne construction si on peut dire bon j’ai dû modifier le support de matelas en effet ils disent sommier et lattes mais en fait trop peu de lattes et trop épaisse pour faire office de matelas ,donc trop dure j’ai modifier les support de côté afin de pouvoir y intégrer un Vrai sommier à latte car impossible d’y poser un sommier car celui ci se trouve bien trop haut en fait à la construction il devrait les placer bien plus bas car avec un matelas de 21 de haut ( ce qui n’est pas très haut quand même ) sans modification de ma part la tête de lit ne se verrait pratiquement plus trop dommage  .    Le tout est à vernir mais il le dise sur le site et en effet un vernis incolore est propice pour garder la couleur originale .  La j’ai commandé aussi des chevets mais les délais sont bien trop long dommage de pas avoir la chambre complète …j’ai la commode aussi parfait rien a redire pour elle .  J’ai aussi commandé le meuble de sallle de bain j’attends ….. il faut être patient le respect de la forêt est à ce prix","['bon', 'matériel', 'bon', 'bon', 'matériel', 'bon', 'construction', 'pouvoir', 'dire', 'bon', 'modifier', 'support', 'matela', 'effet', 'dire', 'sommier', 'latte', 'faire', 'trop', 'peu', 'latte', 'trop', 'épais', 'faire', 'office', 'matelas', 'donc', 'trop', 'dure', 'modifier', 'support', 'afin', 'pouvoir', 'intégrer', 'vrai', 'sommier', 'latte', 'car', 'impossible', 'poser', 'sommier', 'car', 'celui', 'trouver', 'bien', 'trop', 'haut', 'fait', 'construction', 'devoir', 'placer', 'bien', 'bas', 'car', 'matelas', 'haut', 'haut', 'quand', 'sans', 'modification', 'part', 'tête', 'lit', 'voir', 'pratiquemer', 'trop', 'dommage', 'vernir', 'dis', 'effet', 'vernir', 'incolore', 'propice', 'garder', 'couleur', 'original', 'commander', 'aussi', 'chevet', 'délai', 'bien', 'trop', 'long', 'dommage', 'avoir', 'chambre', 'complet', 'commode', 'aussi', 'parfaire', 'rien', 'redir', 'aussi', 'commander', 'salll', 'bain', 'attend', 'falloir', 'être', 'patient', 'respect', 'forêt', 'prix']",0.5608928571428571,1049,0
Très satisfait,"Très satisfait, bonne qualité, bien emballé et livraison le dimanche.","['satisfait', 'satisfaire', 'bon', 'qualité', 'bien', 'emballer', 'livraison', 'dimanche']",0.7124999999999999,69,0
Super produit,"Super produit, jamais déçue. La qualité des produits est au rendez-vous .Je recommande largement le site.","['super', 'super', 'jamais', 'qualité', 'produire', 'rendre', 'recommander', 'largement']",0.685,105,0
Bon produit,Bon produit. Livraison rapide mais cout de transport eleve,"['bon', 'bon', 'livraison', 'rapide', 'cout', 'transport', 'elev']",0.7625,58,0
Tout s’est bien passé pour les 2…,"Tout s’est bien passé pour les 2 commandes que j’ai passé sur le site : livraison très rapide, colis en parfait état et fauteuils de très bonne qualité.Suis très satisfaite de mon achat.","['bien', 'passer', 'bien', 'passer', 'commande', 'passer', 'livraison', 'rapide', 'colis', 'parfaire', 'état', 'fauteuil', 'bon', 'qualité', 'satisfait', 'achat']",0.6825,186,0
J’adore le choix et l’esthétique des…,J’adore le choix et l’esthétique des produits proposés par Sklum. Dommage que les délais de livraison soient si longs,"['adorer', 'choix', 'esthétique', 'adorer', 'choix', 'esthétique', 'produit', 'proposer', 'dommage', 'délai', 'livraison', 'long']",0.4,117,0
Un large choix de très beaux produits…,"Un large choix de très beaux produits tendance, originaux et de bonne qualité","['large', 'choix', 'beal', 'produit', 'large', 'choix', 'beal', 'produire', 'tendance', 'original', 'bon', 'qualité']",0.7449999999999999,77,0
Des meubles qui sentent bon le bois…,"Des meubles qui sentent bon le bois massif ! Des formes très faciles  à intégrer dans la maison actuelle .Nous adorons ❤️Achats depuis 2020: meuble Luis ,Tête de lit teck 180 Tête de lit cannée 160 Bureau acacia","['sentent', 'bon', 'bois', 'sentent', 'bon', 'bois', 'massif', 'forme', 'facile', 'intégrer', 'maison', 'actuel', 'adoron', 'achat', 'depuis', 'luire', 'têt', 'lit', 'teck', 'tête', 'lit', 'canner', 'bureau', 'acacia']",0.6675,211,0
Très bien,Parfait en tout point,"['bien', 'parfaire', 'point']",0.755,21,0
LVRAISON RAPIDE,LVRAISON RAPIDE. LIVREURS SYMPATHIQUE.TRES BIEN EMBALLE ET PROTEGER.,"['lvraison', 'rapide', 'lvraison', 'rapide', 'livreur', 'sympathique', 'tre', 'bien', 'emball', 'proteger']",0.5875,68,0
Très bon service mais au pied de…,Très bon service mais au pied de l’immeuble sinon la livraison dans l’appartement est payant! Avec d’autres enseignes le service est gratuit !,"['bon', 'service', 'pied', 'bon', 'service', 'pied', 'immeuble', 'sinon', 'livraison', 'appartemer', 'payer', 'autre', 'enseigne', 'service', 'gratuit']",0.6708333333333333,142,0
Très satisfait expérience bonne par…,Très satisfait expérience bonne par contre couac au niveau des créneaux horaires.,"['satisfaire', 'expérience', 'bon', 'satisfaire', 'expérience', 'bon', 'contre', 'couac', 'niveau', 'créneal', 'horaire']",0.825,81,0
livraison,Livraison exactement à la date et à l'heure prévue. Produit conforme à mes attentes.,"['livraison', 'livraison', 'exactement', 'date', 'heure', 'prévoir', 'conforme', 'attente']",0.55,84,0
Très satisfaite,Livraison rapide et produit conforme au descriptif. Parfait,"['satisfaire', 'livraison', 'rapide', 'conforme', 'descriptif', 'parfaire']",0.7083333333333334,59,0
très beau produit,"Belles chaises, très douces, et robustes. Bien emballées et livraison assez rapide","['beau', 'bel', 'douce', 'robuster', 'bien', 'emballer', 'livraison', 'assez', 'rapide']",0.715,82,0
Produits de qualité et livraison rapide…,Produits de qualité et livraison rapide je recommande 👍,"['produit', 'qualité', 'livraison', 'rapide', 'produit', 'qualité', 'livraison', 'rapide', 'recommander']",0.6583333333333333,55,0
"Produits de bonne qualite, livraison impeccable","Produits conformes a la description et aux photos, montage facile, bonne qualité Livraison parfaite","['produit', 'bon', 'qualite', 'livraison', 'impeccable', 'produit', 'conforme', 'description', 'photo', 'montage', 'facile', 'bon', 'qualité', 'livraison', 'parfait']",0.727,99,0
Belles mises en image sur le site,Belles mises en image sur le site.  Contact agréable avec le service client et livraison avec un suivi juste remarquable.,"['bel', 'mis', 'image', 'bel', 'mis', 'image', 'contact', 'agréable', 'service', 'client', 'livraison', 'suivre', 'juste', 'remarquable']",0.765,121,0
Un service après-vente exceptionnel,Le meuble livré (en teck recyclé) montrait des signes de la présence d'insectes xylophages. De plus il avait certainement subi quelques chocs dans un transport.Nous avons donc contacté le service après-vente afin de savoir ce qu'il était possible de faire. Il nous a été proposé de le remplacer à l'identique et de détruire celui qui présentait des attaques d'insectes xylophages. La rapidité de réaction du service après-vente est fabuleuse et le mot n'est pas trop fort. Nous avons reçu le nouveau meuble à peine 8 jours plus tard et en parfait état. Le service après-vente de cette entreprise est un exemple dont beaucoup pourrait s'inspirer.,"['service', 'après', 'vente', 'exceptionnel', 'livrer', 'teck', 'recycler', 'montrer', 'signe', 'présence', 'insecte', 'xylophage', 'certainement', 'subir', 'quelque', 'choc', 'transport', 'donc', 'contacté', 'service', 'après', 'vente', 'afin', 'savoir', 'possible', 'faire', 'proposer', 'remplacer', 'identique', 'détruir', 'celui', 'présenter', 'attaque', 'insecte', 'xylophage', 'rapidité', 'réaction', 'service', 'après', 'vente', 'fabuleux', 'mot', 'trop', 'fort', 'nouveau', 'peine', 'jour', 'tard', 'parfaire', 'état', 'service', 'après', 'vente', 'ce', 'entreprise', 'exemple', 'dont', 'beaucoup', 'pouvoir', 'inspirer']",0.6115,645,0
Plusieurs fois que je commande et je…,"Plusieurs fois que je commande et je suis toujours satisfaite, bon service client !","['plusieurs', 'fois', 'commande', 'plusieurs', 'fois', 'commande', 'toujours', 'satisfaire', 'bon', 'service', 'client']",0.79375,83,0
Lampe peu solide même si superbe…,Lampe peu solide même si superbe difficulté pour la stabiliser,"['lamp', 'peu', 'solide', 'superbe', 'lamp', 'peu', 'solide', 'superbe', 'difficulter', 'stabiliser']",0.7291666666666666,62,0
Achat de 4 chaises bleu canard,"Nous venons de refaire entièrement notre cuisine. D’où l’achat de 4 chaises neuves. Pas de regret d’avoir choisi ce modèle. En plus du design très sympa, elles sont confortables et bien stables surtout (important avec de jeunes enfants 😉). La couleur bleu canard est conforme à l’annonce. Ces chaises correspondent à nos attentes. Nous recommandons 👍🏻👍🏻👍🏻","['achat', 'bleu', 'canard', 'venir', 'refaire', 'entièrement', 'cuisine', 'achat', 'neuf', 'regret', 'avoir', 'choisir', 'modèle', 'design', 'symper', 'lui', 'confortable', 'bien', 'stable', 'surtout', 'important', 'jeune', 'enfant', 'couleur', 'bleu', 'canard', 'conforme', 'annonce', 'correspondre', 'attente', 'recommandon']",0.5791666666666666,355,0
Mauvais article expédié et absence de SAV,"Préparateur de commande qui confond un miroir avec un banc, et le SAV débordé et/ou inexistant qui ne répond pas. Au moins je vais pouvoir littéralement m'asseoir dessus.1 point pour l'expédition dans les temps, malheureusement gâché par l'erreur sur le produit et par conséquent le retard dans les travaux.Qualité pas extraordinaire au regard des tarifs pratiqués (meuble SDB Soho en teck, bois avec coups et quincaillerie oxydée)MAJ 02/06/2021 : J'ai été contacté par le SAV le lendemain de la parution de mon avis. Ils m'ont réexpédié le bon produit, programmé l'enlèvement du mauvais et m'ont fait bénéficier du prix en promotion du meuble de sdb. Les problèmes d'organisation du SAV semblent en passe d'être réglés. Merci.","['mauvais', 'article', 'expédier', 'absence', 'sav', 'préparateur', 'command', 'confond', 'miroir', 'banc', 'sav', 'déborder', 'inexister', 'répondre', 'moins', 'aller', 'pouvoir', 'littéralement', 'asseoir', 'dessus', 'point', 'expédition', 'temps', 'malheureusement', 'gâcher', 'erreur', 'conséquent', 'retard', 'traval', 'qualité', 'extraordinaire', 'regard', 'tarif', 'pratiquer', 'sdb', 'soho', 'teck', 'bois', 'coup', 'quincaillerie', 'oxyder', 'maj', 'contacter', 'sav', 'lendemain', 'parution', 'avis', 'réexpédier', 'bon', 'programmer', 'enlèvement', 'mauvais', 'faire', 'bénéficier', 'prix', 'promotion', 'sdb', 'problème', 'organisation', 'sav', 'sembler', 'passer', 'être', 'régler', 'merci']",0.47,727,0
L’entreprise est à l’écoute du client…,L’entreprise est à l’écoute du client et trouve des solutions lors de problèmes.,"['entreprise', 'écout', 'client', 'entreprise', 'écout', 'client', 'trouve', 'solution', 'lors', 'problème']",0.5,80,0
